URL,Checked,Violations,Critical(A),Serious(AA),Moderate(AAA),Other
https://www.fife.ac.uk/courses/qualifications-explained/hncs-hnds-and-degrees/,2022-12-09 19:42:20,6,2,1,2,1
https://www.fife.ac.uk/courses/qualifications-explained/swap/,2022-12-09 19:42:35,5,1,2,1,1
https://www.fife.ac.uk/courses/subject-areas/art-and-design-fashion-and-jewellery/,2022-12-09 19:42:49,5,1,1,3,0
https://www.fife.ac.uk/accelerator-courses/,2022-12-09 19:43:11,6,1,1,3,1
https://www.fife.ac.uk/case-studies/hazel-donnelly/,2022-12-09 19:43:23,3,1,0,2,0
https://www.fife.ac.uk/students/ilearn/,2022-12-09 19:43:37,5,1,1,3,0
https://www.fife.ac.uk/courses/subject-areas/esol/,2022-12-09 19:43:51,5,1,1,3,0
https://www.fife.ac.uk/employers/care/,2022-12-09 19:44:04,5,1,1,3,0
https://www.fife.ac.uk/case-studies/daniel-mckinlay/,2022-12-09 19:44:21,4,1,1,2,0
https://www.fife.ac.uk/about-us/getting-here/levenmouth-campus/,2022-12-09 19:44:33,7,2,1,2,2
https://www.fife.ac.uk/he-creative-industries/,2022-12-09 19:44:40,5,1,1,3,0
https://www.fife.ac.uk/studying-with-us/facilities/theatre/,2022-12-09 19:44:48,4,1,0,3,0
https://www.fife.ac.uk/auchmuty-high-school-courses/,2022-12-09 19:44:59,5,1,1,3,0
https://www.fife.ac.uk/employers/support-with-funding/flexible-workforce-development-fund/,2022-12-09 19:45:08,3,1,0,2,0
https://www.fife.ac.uk/he-business-and-management-courses/,2022-12-09 19:45:27,5,1,1,3,0
https://www.fife.ac.uk/studying-with-us/student-support-services/care-experienced-students/,2022-12-09 19:45:45,4,1,0,2,1
https://www.fife.ac.uk/employers/modern-apprenticeships/construction-mas/,2022-12-09 19:45:59,5,1,1,2,1
https://www.fife.ac.uk/case-studies/amber-harris/,2022-12-09 19:46:14,4,1,1,2,0
https://www.fife.ac.uk/studying-with-us/facilities/gym/,2022-12-09 19:46:30,4,1,0,3,0
https://www.fife.ac.uk/courses/qualifications-explained/professional-qualifications/,2022-12-09 19:46:48,4,1,1,1,1
https://www.fife.ac.uk/he-childhood-studies-courses/,2022-12-09 19:46:54,5,1,1,3,0
https://www.fife.ac.uk/courses/choosing-a-course-and-applying/career-coach/,2022-12-09 19:47:17,6,1,2,2,1
https://www.fife.ac.uk/courses/part-time-study/,2022-12-09 19:47:25,5,1,1,3,0
https://www.fife.ac.uk/about-us/board-of-governors/our-board-of-governors/,2022-12-09 19:47:42,4,1,0,3,0
https://www.fife.ac.uk/studying-with-us/student-support-services/inclusion-team/,2022-12-09 19:47:58,4,1,0,3,0
https://www.fife.ac.uk/courses/subject-areas/business-enterprise-and-accounting/,2022-12-09 19:48:11,5,1,1,3,0
https://www.fife.ac.uk/he-sport-and-fitness-courses/,2022-12-09 19:48:26,4,1,0,3,0
https://www.fife.ac.uk/complaints-your-voice/complaint-form/,2022-12-09 19:48:39,5,1,1,3,0
https://www.fife.ac.uk/courses/degrees/progressing-to-university/,2022-12-09 19:48:56,6,2,1,2,1
https://www.fife.ac.uk/case-studies/james-hutt/,2022-12-09 19:49:10,5,1,2,2,0
https://www.fife.ac.uk/courses/subject-areas/community-based-learning/,2022-12-09 19:49:25,5,1,1,3,0
https://www.fife.ac.uk/new-start-skills-boost-acc/,2022-12-09 19:49:42,4,1,0,2,1
https://www.fife.ac.uk/az/,2022-12-09 19:50:12,5,1,0,3,1
https://www.fife.ac.uk/about-us/getting-here/,2022-12-09 19:50:18,4,1,0,3,0
https://www.fife.ac.uk/courses/subject-areas/stem/,2022-12-09 19:50:30,5,1,1,3,0
https://www.fife.ac.uk/about-us/our-vision-mission-and-values/,2022-12-09 19:50:46,4,1,0,3,0
https://www.fife.ac.uk/schools/school-college-partnership-courses/,2022-12-09 19:51:00,5,1,2,2,0
https://www.fife.ac.uk/case-studies/hannah-trickett/,2022-12-09 19:51:12,4,1,1,2,0
https://www.fife.ac.uk/studying-with-us/facilities/,2022-12-09 19:51:26,4,1,0,3,0
https://www.fife.ac.uk/courses/choosing-a-course-and-applying/how-to-apply/,2022-12-09 19:51:51,6,1,2,2,1
https://www.fife.ac.uk/case-studies/eilidh-smith/,2022-12-09 19:52:06,3,1,0,2,0
https://www.fife.ac.uk/corporate-and-governance/policies-and-procedures/cookies/,2022-12-09 19:52:18,4,1,0,3,0
https://www.fife.ac.uk/employers/engineering-and-ipc/automotive/,2022-12-09 19:52:33,5,1,1,3,0
https://www.fife.ac.uk/he-administration-courses/,2022-12-09 19:52:46,5,1,1,3,0
https://www.fife.ac.uk/courses/qualifications-explained/modern-apprenticeships/,2022-12-09 19:53:04,6,3,1,1,1
https://www.fife.ac.uk/studying-with-us/fcsa/,2022-12-09 19:53:13,4,1,0,3,0
https://www.fife.ac.uk/about-us/getting-here/dunfermline-campus/,2022-12-09 19:53:27,4,1,0,3,0
https://www.fife.ac.uk/about-us/getting-here/glenrothes-campus/,2022-12-09 19:53:42,4,1,0,3,0
https://www.fife.ac.uk/he-creative-media/,2022-12-09 19:53:58,5,1,1,3,0
https://www.fife.ac.uk/case-studies/michael-inglis/,2022-12-09 19:54:12,5,1,2,2,0
https://www.fife.ac.uk/students/,2022-12-09 19:54:20,5,1,1,2,1
https://www.fife.ac.uk/schools/schools-information/,2022-12-09 19:54:27,5,1,1,3,0
https://www.fife.ac.uk/case-studies/jessica-mills/,2022-12-09 19:54:35,3,1,0,2,0
https://www.fife.ac.uk/students/,2022-12-09 19:54:47,5,1,1,2,1
https://www.fife.ac.uk/taggedcoursesearch/,2022-12-09 19:54:59,4,1,0,2,1
https://www.fife.ac.uk/schools/campuses-and-facilities/,2022-12-09 19:55:13,5,1,1,2,1
https://www.fife.ac.uk/courses/subject-areas/digital-computing-and-cyber/,2022-12-09 19:55:22,6,1,2,3,0
https://www.fife.ac.uk/case-studies/john-hancock/,2022-12-09 19:55:38,4,1,1,2,0
https://www.fife.ac.uk/about-us/getting-here/new-dunfermline-learning-campus-2024/,2022-12-09 19:55:50,5,1,2,1,1
https://www.fife.ac.uk/case-studies/stuart-russell/,2022-12-09 19:55:59,4,1,1,2,0
https://www.fife.ac.uk/courses/subject-areas/tourism-events-and-customer-service/,2022-12-09 19:56:06,5,1,1,3,0
https://www.fife.ac.uk/courses/degrees/,2022-12-09 19:56:18,7,3,0,3,1
https://www.fife.ac.uk/virtual-open-day/faqs/,2022-12-09 19:56:35,4,2,0,2,0
https://www.fife.ac.uk/courses/choosing-a-course-and-applying/how-to-apply/,2022-12-09 19:56:50,6,1,2,2,1
https://www.fife.ac.uk/courses/subject-areas/data-science/,2022-12-09 19:57:04,5,1,2,2,0
https://www.fife.ac.uk/case-studies/lisa-sinclair/,2022-12-09 19:57:11,3,1,0,2,0
https://www.fife.ac.uk/case-studies/david-mulligan/,2022-12-09 19:57:18,4,1,1,2,0
https://www.fife.ac.uk/students/student-portal/,2022-12-09 19:57:25,5,1,1,3,0
https://www.fife.ac.uk/case-studies/katie-penman/,2022-12-09 19:57:31,3,1,0,2,0
https://www.fife.ac.uk/case-studies/sharon-johnstone/,2022-12-09 19:57:38,3,1,0,2,0
https://www.fife.ac.uk/case-studies/scott-keir/,2022-12-09 19:57:46,3,1,0,2,0
https://www.fife.ac.uk/employers/electrical-training/,2022-12-09 19:57:52,4,1,0,3,0
https://www.fife.ac.uk/case-studies/jake-leitch/,2022-12-09 19:57:59,3,1,0,2,0
https://www.fife.ac.uk/studying-with-us/adam-smith-scholarships/,2022-12-09 19:58:06,5,1,1,3,0
https://www.fife.ac.uk/places-available/,2022-12-09 19:58:17,5,1,2,2,0
https://www.fife.ac.uk/studying-with-us/,2022-12-09 19:58:25,5,0,2,2,1
https://www.fife.ac.uk/sitemap/,2022-12-09 19:59:27,5,1,1,2,1
https://www.fife.ac.uk/case-studies/tammala-noble/,2022-12-09 19:59:40,4,1,1,2,0
https://www.fife.ac.uk/schools/course-and-career-planners/,2022-12-09 19:59:47,5,1,1,2,1
https://www.fife.ac.uk/studying-with-us/adam-smith-scholarships/become-a-donor/,2022-12-09 19:59:54,5,1,1,3,0
https://www.fife.ac.uk/courses/subject-areas/performing-arts/,2022-12-09 20:00:00,5,1,1,3,0
https://www.fife.ac.uk/media-enquiries/,2022-12-09 20:00:07,4,1,0,2,1
https://www.fife.ac.uk/case-studies/tracy-duncan/,2022-12-09 20:00:14,3,1,0,2,0
